1,Omar,Khalil,100 Baghdad Heliopolis Cairo,01505829637,1995-04-25,M,OmarKhalil93@gmail.com
2,Adham,Nader,73 Al Ahram Heliopolis Cairo,01594360251,2003-09-03,M,AdhamNader24@outlook.com
3,Sherif,Waleed,93 Talaat Harb Imbaba Giza,01115928730,1997-07-01,M,SherifWaleed333@gmail.com
4,Omar,Sayed,13 Al Merghany Heliopolis Cairo,01257381296,1989-02-02,M,OmarSayed128@hotmail.com
5,Seif,Hani,56 18St. ElTahrir City Imbaba Giza,01118265940,1999-08-15,M,SeifHani125@gmail.com
6,Ahmed,Khalil,81 Al Kanal Maadi Cairo,01067825309,1997-09-14,M,AhmedKhalil270@outlook.com
7,Ahmed,Khaled,99 Al Falaky Downtown Cairo,01238450269,1987-04-15,M,AhmedKhaled344@gmail.com
8,Kareem,Magdy,68 Shagaret Al Dor Zamalek Cairo,01523541068,1998-07-14,M,KareemMagdy52@gmail.com
9,Eyad,Farag,26 Mohammed Mazhar Zamalek Cairo,01062409138,1995-01-17,M,EyadFarag321@outlook.com
10,Mohamed,Sayed,100 Mamdouh Salem Imbaba Giza,01245712360,2003-12-28,M,MohamedSayed152@gmail.com
11,Mohamed,Ghanim,75 El Sadat Al-Salam Cairo,01571342958,1987-08-27,M,MohamedGhanim346@gmail.com
12,Mostafa,Fawzi,100 Taha Hussein Zamalek Cairo,01175386940,1989-09-10,M,MostafaFawzi140@hotmail.com
13,Mahmoud,Yaser,7 Talaat Harb Downtown Cairo,01564021578,2002-06-10,M,MahmoudYaser88@outlook.com
14,Haytham,Zakaria,46 Hassan Sabry Zamalek Cairo,01249871625,1998-04-15,M,HaythamZakaria134@outlook.com
15,Adham,Ghanim,94 Adly Downtown Cairo,01137129058,2001-03-24,M,AdhamGhanim152@outlook.com
16,Yousif,Ezzat,67 Gad Eid Al Doqi Giza,01274802935,1987-02-06,M,YousifEzzat101@outlook.com
17,Abdallah,Magdy,33 Damascus Maadi Cairo,01086135042,1987-04-04,M,AbdallahMagdy396@hotmail.com
18,Seif,Khaled,77 Talaat Harb Downtown Cairo,01207985142,1994-08-01,M,SeifKhaled59@hotmail.com
19,Mohamed,Nader,51 Al Hegaz Heliopolis Cairo,01179584362,1995-05-03,M,MohamedNader219@outlook.com
20,Seif,Ashraf,2 Talaat Harb Imbaba Giza,01528015439,1996-02-15,M,SeifAshraf82@gmail.com
21,Ahmed,Fawzi,10 Salah El Din Heliopolis Cairo,01175031864,1997-12-28,M,AhmedFawzi239@outlook.com
22,Ahmed,Ezzat,28 Doletyan Shobra Cairo,01559420381,2002-06-27,M,AhmedEzzat130@outlook.com
23,Ali,Hani,81 Rod El Farag Shobra Cairo,01257328016,1995-11-27,M,AliHani162@gmail.com
24,Kareem,Ghanim,6 Rod El Farag Shobra Cairo,01575941280,1992-11-22,M,KareemGhanim103@hotmail.com
25,Zeyad,Fawzi,35 Gad Eid Al Doqi Giza,01230265174,1992-01-26,M,ZeyadFawzi398@hotmail.com
26,Abdelrahman,Ashraf,8 Ahmed Helmy Shobra Cairo,01047128036,1994-10-10,M,AbdelrahmanAshraf24@hotmail.com
27,Zeyad,Mohamed,34 El Sadat Al-Salam Cairo,01198024653,1994-10-26,M,ZeyadMohamed244@gmail.com
28,Amir,Yaser,16 Rod El Farag Shobra Cairo,01287093125,1998-07-11,M,AmirYaser98@gmail.com
29,Omar,Fawzi,44 Kholousi Shobra Cairo,01219428306,1994-12-13,M,OmarFawzi192@gmail.com
30,Ahmed,Fawzi,63 Salah El Din Helipolis Cairo,01098574103,1992-09-21,M,AhmedFawzi362@hotmail.com
31,Mohamed,Hani,34 28St. El-Tahrir City Imbaba Giza,01030178425,2005-09-14,M,MohamedHani129@outlook.com
32,Zeyad,Yaser,40 18St.  ElTahrir City Imbaba Giza,01102374158,2005-07-20,M,ZeyadYaser356@hotmail.com
33,Seif,Magdy,50 Shaheen Al Doqi Giza,01149832615,2007-05-24,M,SeifMagdy359@hotmail.com
34,Ehab,Waleed,44 28St. El-Tahrir City Imbaba Giza,01016289075,2006-12-23,M,EhabWaleed339@outlook.com
35,Abdallah,Farag,54 Gamal Abdel Nasser Al-Salam Cairo,01245198607,2007-08-20,M,AbdallahFarag128@hotmail.com
36,Amr,Ashraf,77 Hassan Ramadan Al Doqi Giza,01507639154,2007-02-18,M,AmrAshraf272@gmail.com
37,Abdallah,Yaser,74 Taha Hussein Zamalek Cairo,01505397412,2007-04-15,M,AbdallahYaser291@hotmail.com
38,Wael,Khaled,62 26 July St Downtown Cairo,01241683907,2005-06-18,M,WaelKhaled403@hotmail.com
39,Yousif,Magdy,58 Talaat Harb Imbaba Giza,01153297064,2007-08-23,M,YousifMagdy139@gmail.com
40,Abdalaziz,Khalil,42 Bahgat Ali Zamalek Cairo,01152193076,2007-08-07,M,AbdalazizKhalil67@hotmail.com
41,Eyad,Salah,46 Gamal Abdel Nasser Al-Salam Cairo,01150762139,2008-02-15,M,EyadSalah153@outlook.com
42,Adham,Zakaria,24 Shaheen Al Doqi Giza,01137492185,2005-11-04,M,AdhamZakaria139@gmail.com
43,Mahmoud,Salah,33 Taha Hussein Zamalek Cairo,01584035912,2006-06-24,M,MahmoudSalah9@hotmail.com
44,Ibrahim,Emad,3 Al Merghany Heliopolis Cairo,01152730861,2005-03-09,M,IbrahimEmad331@outlook.com
45,Mohamed,Khaled,27 Al Kanal Maadi Cairo,01018963524,2007-03-14,M,MohamedKhaled122@outlook.com
46,Yousif,Ashraf,86 Hassan Ramadan Al Doqi Giza,01249713826,2007-02-23,M,YousifAshraf61@outlook.com
47,Haytham,Hassan,77 Sherif Downtown Cairo,01150176382,2007-01-11,M,HaythamHassan103@gmail.com
48,Eyad,Hani,100 28St. El-Tahrir City Imbaba Giza,01235081479,2007-01-05,M,EyadHani210@outlook.com
49,Amr,Farag,88 Gamal Abdel Nasser Al-Salam Cairo,01093281057,2008-06-21,M,AmrFarag253@gmail.com
50,Abdallah,Mohamed,67 Al Teraa Al Boulakeya Shobra Cairo,01578546120,2008-11-03,M,AbdallahMohamed184@hotmail.com
51,Rashad,Khaled,8 Shaheen Al Doqi Giza,01589041623,2008-05-26,M,RashadKhaled353@outlook.com
52,Mahmoud,Sayed,17 Kholousi Shobra Cairo,01225807169,2006-08-18,M,MahmoudSayed22@gmail.com
53,Haytham,Magdy,87 Salah El Din Helipolis Cairo,01292830175,2007-05-23,M,HaythamMagdy46@hotmail.com
54,Eyad,Zakaria,90 Gamal Abdel Nasser Al-Salam Cairo,01090572483,2005-09-14,M,EyadZakaria299@gmail.com
55,Rashad,Fawzi,12 Talaat Harb Imbaba Giza,01171643928,2008-01-11,M,RashadFawzi172@gmail.com
56,Zeyad,Salah,71 Rod El Farag Shobra Cairo,01147951082,2007-08-17,M,ZeyadSalah180@outlook.com
57,Ibrahim,Fawzi,94 Baghdad Helipolis Cairo,01087302169,2008-10-17,M,IbrahimFawzi217@outlook.com
58,Amir,Sayed,74 Talaat Harb Imbaba Giza,01081945036,2006-07-13,M,AmirSayed140@hotmail.com
59,Ibrahim,Ashraf,11 El Tahrir Downtown Cairo,01126408931,2005-11-13,M,IbrahimAshraf175@gmail.com
60,Amr,Farag,63 Taha Hussein Zamalek Cairo,01007695183,2005-11-24,M,AmrFarag116@hotmail.com
61,Rashad,Sayed,65 Kholousi Shobra Cairo,01119276584,1999-12-06,M,RashadSayed177@outlook.com
62,Haytham,Nader,19 Hassan Ramadan Al Doqi Giza,01257160239,2002-05-16,M,HaythamNader105@gmail.com
63,Sherif,Hani,4 Mamdouh Salem Imbaba Giza,01126018379,1999-10-09,M,SherifHani303@gmail.com
64,Sherif,Khaled,53 Al Saad Al Aaly Maadi Cairo,01131765240,1995-01-09,M,SherifKhaled57@gmail.com
65,Omar,Sobhi,46 Taha Hussein Zamalek Cairo,01549512830,1993-10-22,M,OmarSobhi152@outlook.com
66,Kareem,Farag,98 26 July St Downtown Cairo,01517486923,1994-12-22,M,KareemFarag230@outlook.com
67,Ibrahim,Khaled,83 Adly Downtown Cairo,01528741963,1994-11-11,M,IbrahimKhaled75@hotmail.com
68,Eyad,Sobhi,73 Abou El Feda Zamalek Cairo,01224063981,1996-03-01,M,EyadSobhi407@gmail.com
69,Haytham,Zakaria,77 Gamal Abdel Nasser Al-Salam Cairo,01197240631,1992-10-17,M,HaythamZakaria59@hotmail.com
70,Rashad,Nader,58 Al Ahram Helipolis Cairo,01505493216,1994-01-24,M,RashadNader339@outlook.com
71,Seif,Mohamed,16 26 July St Downtown Cairo,01128176935,2000-04-10,M,SeifMohamed292@outlook.com
72,Seif,Sobhi,79 kamal Al Tawil Zamalek Cairo,01208932671,2001-10-22,M,SeifSobhi298@gmail.com
73,Yasmin,Hassan,92 Champeleon Downtown Cairo,01212963458,2002-03-22,F,YasminHassan380@gmail.com
74,Salma,Khalil,13 Gamal Abdel Nasser Al-Salam Cairo,01198345027,1995-01-27,F,SalmaKhalil71@hotmail.com
75,Hana,Magdy,80 Bahgat Ali Zamalek Cairo,01297056842,1996-11-26,F,HanaMagdy330@outlook.com
76,Esraa,Ezzat,27 Gad Eid Al Doqi Giza,01065317249,2001-03-04,F,EsraaEzzat135@hotmail.com
77,Aya,Mohamed,50 Gamal Abdel Nasser Al-Salam Cairo,01221740893,1991-04-07,F,AyaMohamed24@gmail.com
78,Nour,Ghanim,10 Mamdouh Salem Imbaba Giza,01214928753,1994-03-06,F,NourGhanim311@gmail.com
79,Yasmin,Hassan,23 Oraby Maadi Cairo,01150391872,1995-12-16,F,YasminHassan415@outlook.com
80,Amal,Khaled,27 Shaheen Al Doqi Giza,01061237485,1991-03-24,F,AmalKhaled402@gmail.com
81,Amani,Waleed,92 Al Ahram Helipolis Cairo,01219273548,1997-07-14,F,AmaniWaleed196@gmail.com
82,Arwa,Khalil,9 Gamal Abdel Nasser Al-Salam Cairo,01175423906,1998-04-11,F,ArwaKhalil403@gmail.com
83,Omnya,Khaled,7 Al Merghany Heliopolis Cairo,01029730458,1996-05-01,F,OmnyaKhaled318@gmail.com
84,Rahma,Sobhi,92 Mamdouh Salem Imbaba Giza,01523571648,1998-03-27,F,RahmaSobhi212@outlook.com
85,Salma,Salah,65 26 July St Downtown Cairo,01521548936,2002-01-02,F,SalmaSalah286@outlook.com
86,Salma,Khaled,53 Kholousi Shobra Cairo,01273980156,2004-03-17,F,SalmaKhaled5@outlook.com
87,Mostafa,Sobhi,24 Doletyan Shobra Cairo,01539218046,2001-11-15,M,MostafaSobhi199@outlook.com
88,Toaa,Hani,20 Hassan Sabry Zamalek Cairo,01217398620,2000-01-24,F,ToaaHani357@gmail.com
89,Yasmin,Fawzi,74 Salah El Din Helipolis Cairo,01208473291,2000-09-16,F,YasminFawzi13@gmail.com
