INSERT INTO Pro_Player (Player_SSN, SportName) VALUES
(1,'Football'),
(2,'Football'),
(3,'Football'),
(4,'Football'),
(5,'Football'),
(6,'Football'),
(7,'Football'),
(8,'Football'),
(9,'Football'),
(10,'Football'),
(11,'Football'),
(12,'Football'),
(13,'Football'),
(14,'Football'),
(15,'Football'),
(16,'Football'),
(17,'Football'),
(18,'Football'),
(19,'Football'),
(20,'Football'),
(21,'Football'),
(22,'Football'),
(23,'Football'),
(24,'Football'),
(25,'Football'),
(26,'Football'),
(27,'Football'),
(28,'Football'),
(29,'Football'),
(30,'Football'),
 (31,'Football'),
(32,'Football'),
(33,'Football'),
(34,'Football'),
(35,'Football'),
(36,'Football'),
(37,'Football'),
(38,'Football'),
(39,'Football'),
(40,'Football'),
(41,'Football'),
(42,'Football'),
(43,'Football'),
(44,'Football'),
(45,'Football'),
(46,'Football'),
(47,'Football'),
(48,'Football'),
(49,'Football'),
(50,'Football'),
(51,'Football'),
(52,'Football'),
(53,'Football'),
(54,'Football'),
(55,'Football'),
(56,'Football'),
(57,'Football'),
(58,'Football'),
(59,'Football'),
(60,'Football'),
 (61,'Basketball'),
(62,'Basketball'),
(63,'Basketball'),
(64,'Basketball'),
(65,'Basketball'),
(66,'Basketball'),
(67,'Basketball'),
(68,'Basketball'),
(69,'Basketball'),
(70,'Basketball'),
(71,'Basketball'),
(72,'Basketball'),
 (73,'Basketball'),
(74,'Basketball'),
(75,'Basketball'),
(76,'Basketball'),
(77,'Basketball'),
(78,'Basketball'),
(79,'Basketball'),
(80,'Basketball'),
(81,'Basketball'),
(82,'Basketball'),
(83,'Basketball'),
(84,'Basketball'),
(85, 'Swimming'),
(86, 'Swimming'),
(87, 'Swimming'),
(88, 'Swimming'),
(89, 'Swimming'),
(90, 'Swimming'),
(91, 'Swimming'),
(92, 'Swimming'),
(93, 'Swimming'),
(94, 'Swimming'),
 (95, 'Kung Fu'),
(96, 'Kung Fu'),
(97, 'Kung Fu'),
(98, 'Kung Fu'),
(99, 'Kung Fu'),
(100, 'Kung Fu'),
(101, 'Kung Fu'),
(102, 'Kung Fu'),
(103, 'Kung Fu'),
(104, 'Kung Fu');
